Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,16716,15902,16114,13973,16420,16196,15875,15239,15435,16230,15794,15775,16311,15542,15430,15278,15454,15470,14698,15930,16441,15604,15134,15608,Average Spend Value (ASV),440
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,9529,10030,10030,10030,9905,8801,8726,9027,9027,9027,9027,9027,9027,9027,8756,9027,9027,9027,9027,9027,7670,8349,8350,9041,Average Spend Value (ASV),441
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,49619,43738,47480,50047,45865,47053,45024,37358,43890,43402,46241,43402,40765,41480,45024,48675,38502,42479,41142,32991,42996,41577,41374,43534,Average Spend Value (ASV),442
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,17110,17110,,17110,16520,16225,16225,,,,,16225,16225,16225,16225,,,16225,,16225,,,,16422,Average Spend Value (ASV),443
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,80712,81721,85757,80712,84075,81926,81243,76464,81243,,,82836,76464,77128,84429,75000,,90801,,86022,75000,80801,,81416,Average Spend Value (ASV),444
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,150595,150000,,150893,150096,,,140715,,,,,150096,,,150096,137901,,,,115096,,142974,Average Spend Value (ASV),445
Average Spend Value (ASV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,15635,,14072,14072,14072,,14075,,,,,,14419,Average Spend Value (ASV),446
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,15812,15783,15930,15930,15930,13487,14868,14524,14868,14868,14868,14868,,,,,,,,,,,,14968,Average Spend Value (ASV),447
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,16827,16927,15865,16427,15095,15117,14932,15006,15253,15713,14811,13892,14480,,,,,,,,,,,15394,Average Spend Value (ASV),448
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,31860,31860,29406,31388,28084,29736,29736,29736,,,,,,,,,,,,,30295,Average Spend Value (ASV),449
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Average Spend Value (ASV),450
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,6313,6313,6313,6313,6313,5841,5674,5452,5841,5841,5841,5841,5841,,,,,,,,,,,5942,Average Spend Value (ASV),451
Average Spend Value (ASV),"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,10431,10351,10832,10832,12036,9706,10722,10445,10537,10745,11092,10685,9955,,,,,,,,,,,10482,Average Spend Value (ASV),452
Average Spend Value (ASV),"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,1770,1762,1770,1770,1770,1652,1652,1652,1652,1652,,,,,,,,,,,,,,1709,Average Spend Value (ASV),453
Average Spend Value (ASV),"Supreme HQ, Bandra",Others,Others,550,194,88,103,528,,403,348,,,,222,,,,,,,,,,,,280,Average Spend Value (ASV),454
Average Spend Value (ASV),"Supreme HQ, Bandra",Privates,Studio Private Class,5900,,,,27730,,,,,,,,5900,,,,,,,,,,,13177,Average Spend Value (ASV),455
Average Spend Value (ASV),"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,5000,,,,,,,,,,,,,,,,,,,5000,Average Spend Value (ASV),456
Average Spend Value (ASV),"Supreme HQ, Bandra",Retail,Retail,1225,892,1173,393,555,633,555,1098,1072,816,627,615,1505,,,,,,,,,,,880,Average Spend Value (ASV),457
Average Spend Value (ASV),"Supreme HQ, Bandra",Sessions/Single Classes,Session,1914,1791,2017,1829,1805,1739,1640,910,1724,1779,1982,1652,,,,,,,,,,,,1649,Average Spend Value (ASV),458
Average Spend Value (ASV),"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,1770,1760,1763,1770,1770,1652,1652,1635,1644,1635,1652,1652,1652,,,,,,,,,,,1691,Average Spend Value (ASV),459
Average Spend Value (ASV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,15787,14994,15858,14314,15464,14766,15263,14965,15234,15206,15176,14987,16605,,,,,,,,,,,15200,Average Spend Value (ASV),460
Average Spend Value (ASV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,10030,10030,9529,,,8575,9027,9027,8756,9027,8349,8688,7670,,,,,,,,,,,8686,Average Spend Value (ASV),461
Average Spend Value (ASV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,47344,42492,45684,50688,44657,43321,42591,40968,42347,43402,41982,42591,42591,,,,,,,,,,,43973,Average Spend Value (ASV),462
Average Spend Value (ASV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,80000,,,85757,85757,81243,,81243,82836,,,,86022,,,,,,,,,,,83170,Average Spend Value (ASV),463
Average Spend Value (ASV),"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,151509,165495,,,150096,,,,,,,,,,,,,,,,,,152904,Average Spend Value (ASV),464
Units per Transaction (UPT),Kenkere House,Class Packages,Studio 10 Single Class Package,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),465
Units per Transaction (UPT),Kenkere House,Class Packages,Studio 12 Class Package,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),466
Units per Transaction (UPT),Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,Units per Transaction (UPT),467
Units per Transaction (UPT),Kenkere House,Class Packages,Studio 4 Class Package,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),468
Units per Transaction (UPT),Kenkere House,Class Packages,Studio 8 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),469
Units per Transaction (UPT),Kenkere House,Intro Offers,Studio Newcomers 2 For 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),470
Units per Transaction (UPT),Kenkere House,Others,Others,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),471
Units per Transaction (UPT),Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,Units per Transaction (UPT),472
Units per Transaction (UPT),Kenkere House,Privates,Studio Private Class,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,Units per Transaction (UPT),473
Units per Transaction (UPT),Kenkere House,Retail,Retail,1.3,1.3,2.0,1.7,1.9,1.1,1.4,1.9,1.3,1.3,1.5,1.4,1.7,1.3,2.2,1.3,1.9,1.9,1.0,,,,,1.6,Units per Transaction (UPT),474
Units per Transaction (UPT),Kenkere House,Sessions/Single Classes,Session,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,Units per Transaction (UPT),475
Units per Transaction (UPT),Kenkere House,Sessions/Single Classes,Studio Single Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),476
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,1.0,1.0,1.0,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),477
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),478
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,Units per Transaction (UPT),479
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,Units per Transaction (UPT),480
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),481
Units per Transaction (UPT),Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,Units per Transaction (UPT),482
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,1.0,1.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,Units per Transaction (UPT),483
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),484
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),485
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,Units per Transaction (UPT),486
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),487
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),488
Units per Transaction (UPT),"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,Units per Transaction (UPT),489
Units per Transaction (UPT),"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),490
Units per Transaction (UPT),"Kwality House, Kemps Corner",Others,Others,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,Units per Transaction (UPT),491
Units per Transaction (UPT),"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,Units per Transaction (UPT),492
Units per Transaction (UPT),"Kwality House, Kemps Corner",Privates,Studio Private Class,1.0,2.0,1.0,1.5,1.3,1.5,,2.7,3.5,3.0,2.0,1.0,1.0,2.8,2.4,2.5,2.5,5.0,3.0,2.0,1.0,1.1,,1.6,Units per Transaction (UPT),493
Units per Transaction (UPT),"Kwality House, Kemps Corner",Privates,Virtual Private Class,,1.0,,1.5,1.0,,2.0,,,,,,,1.7,,2.0,9.0,5.0,1.0,1.0,1.0,,13.0,2.1,Units per Transaction (UPT),494
Units per Transaction (UPT),"Kwality House, Kemps Corner",Retail,Retail,1.5,1.4,1.3,1.5,1.2,1.6,1.2,1.4,1.7,2.1,1.8,1.8,1.9,2.2,1.7,1.9,1.8,2.2,1.7,1.8,1.7,1.6,1.8,1.6,Units per Transaction (UPT),495
Units per Transaction (UPT),"Kwality House, Kemps Corner",Sessions/Single Classes,Session,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,Units per Transaction (UPT),496
Units per Transaction (UPT),"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,1.1,1.0,1.0,1.1,1.0,1.3,1.0,1.4,1.4,1.2,1.1,1.0,1.0,1.2,1.2,1.0,1.2,1.0,1.0,1.1,1.0,1.0,1.0,1.1,Units per Transaction (UPT),497
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,1.1,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),498
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),499
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Units per Transaction (UPT),500
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,Units per Transaction (UPT),501
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,Units per Transaction (UPT),502
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,Units per Transaction (UPT),503
Units per Transaction (UPT),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,,,,,1.1,Units per Transaction (UPT),504
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,Units per Transaction (UPT),505
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),506
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,Units per Transaction (UPT),507
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),508
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),509
Units per Transaction (UPT),"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),510
Units per Transaction (UPT),"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),511
Units per Transaction (UPT),"Supreme HQ, Bandra",Others,Others,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,Units per Transaction (UPT),512
Units per Transaction (UPT),"Supreme HQ, Bandra",Privates,Studio Private Class,1.5,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.2,Units per Transaction (UPT),513
Units per Transaction (UPT),"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,Units per Transaction (UPT),514
Units per Transaction (UPT),"Supreme HQ, Bandra",Retail,Retail,1.2,1.6,1.4,1.6,1.2,1.5,1.5,1.4,1.3,1.4,1.1,1.4,1.3,,,,,,,,,,,1.4,Units per Transaction (UPT),515
Units per Transaction (UPT),"Supreme HQ, Bandra",Sessions/Single Classes,Session,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,Units per Transaction (UPT),516
Units per Transaction (UPT),"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.1,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),517
Units per Transaction (UPT),"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),518
Units per Transaction (UPT),"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),519
Units per Transaction (UPT),"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),520
Units per Transaction (UPT),"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,Units per Transaction (UPT),521
Units per Transaction (UPT),"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,Units per Transaction (UPT),522
VAT,Kenkere House,Class Packages,Studio 10 Single Class Package,,7776,1728,8208,7776,,9306,,1584,3564,,1782,1980,,,,,,,,,,,43704,VAT,523
VAT,Kenkere House,Class Packages,Studio 12 Class Package,3713,14513,6075,25875,10350,13119,8034,9763,5492,24815,9662,,2034,6102,4068,8136,20340,5492,3763,,,,,181345,VAT,524
VAT,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,3020,,,,,,,3020,VAT,525
VAT,Kenkere House,Class Packages,Studio 4 Class Package,801,2403,,801,1602,2916,3645,3645,1458,1458,4957,3645,729,4374,2916,2916,3645,5030,2041,,,,,48983,VAT,526
VAT,Kenkere House,Class Packages,Studio 8 Class Package,16658,24128,12848,7470,8665,10328,15593,11543,10395,15525,14108,7695,6480,1215,6750,13770,21600,7776,1188,,,,,213734,VAT,527
VAT,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,648,1296,432,821,3672,198,594,,,,,,,,,,,,,,,,,7661,VAT,528
VAT,Kenkere House,Others,Others,0,,,,0,,,,,,,,,,,,,,,,,,,0,VAT,529
VAT,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,0,,,,,,0,VAT,530
VAT,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,707,,,,,,,,,,,,,707,VAT,531
VAT,Kenkere House,Retail,Retail,2466,1038,1838,1736,1852,1111,2240,5021,2831,2582,1199,2735,2193,939,1288,1516,3693,2698,81,,,,,39056,VAT,532
VAT,Kenkere House,Sessions/Single Classes,Session,13536,4082,5832,3240,2160,,990,3847,2574,2178,837,198,2574,3960,3564,3762,3168,2574,,,,,,59076,VAT,533
VAT,Kenkere House,Sessions/Single Classes,Studio Single Class,6437,9245,9936,11405,15509,7920,9068,6138,10098,10652,12276,9702,8316,9900,12078,11246,12672,6930,198,,,,,179726,VAT,534
VAT,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,39156,24144,10884,25520,51291,23427,17366,26457,31235,12821,33566,17767,22455,24786,44910,19593,6993,6527,4103,,,,,443001,VAT,535
VAT,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,2592,6219,2070,3366,4271,5634,1035,1188,3564,4446,8163,3411,11997,4599,3411,3258,6664,11385,2070,,,,,89344,VAT,536
VAT,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,5789,10854,40522,23155,6151,25547,28909,29917,18152,20169,6051,6051,17816,37649,17480,11429,6723,5715,5916,,,,,323994,VAT,537
VAT,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,10571,,11980,,13068,10454,,,,,,9801,9801,,,,,,,,,,65675,VAT,538
VAT,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,3366,,,,,,,,,,,,,,,,,,,,,,3366,VAT,539
VAT,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,26784,,,,,,,,,,,,,,20304,,20304,20304,,,,,87696,VAT,540
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,21870,16200,15120,7290,9720,27936,4788,13860,13860,11340,,2268,2268,2520,,,,,,2016,,4140,,155196,VAT,541
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,19911,59733,45105,24652,23162,9598,18822,11717,43004,19944,14210,30165,23434,41384,16329,17451,12465,15457,18448,12465,12465,11343,4363,505628,VAT,542
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,4860,9720,,9720,9528,9072,4536,8820,21924,4536,5040,,9072,4536,4536,17640,14112,9072,18144,17892,9072,21708,4212,217752,VAT,543
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,6885,12960,,20655,6885,6804,,,33642,,,,6804,12564,6804,,13608,6804,,,,6426,,140841,VAT,544
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,6741,5778,12519,6741,5778,11583,3564,5346,6237,16038,13365,2673,9801,8019,8019,7128,9801,6237,1782,8019,8910,10514,1782,176375,VAT,545
VAT,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,16285,10042,14321,9180,14137,18443,21319,11844,25380,26818,36886,11844,18155,29779,21996,20304,21996,8460,6430,15228,18612,21658,4738,403854,VAT,546
VAT,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,1692,,,1692,VAT,547
VAT,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,810,1620,270,270,,,504,252,2268,,,,,,,,,,,,,,5994,VAT,548
VAT,"Kwality House, Kemps Corner",Others,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,0,VAT,549
VAT,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,0,0,0,VAT,550
VAT,"Kwality House, Kemps Corner",Privates,Studio Private Class,1071,46350,900,26100,19251,25200,,41850,13050,37800,34200,900,19800,55980,36900,29700,0,3600,6300,0,35100,30780,,464832,VAT,551
VAT,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,8100,,23490,810,,14580,,,,,,,18630,,1620,6480,4050,1620,14580,4860,,21060,119880,VAT,552
VAT,"Kwality House, Kemps Corner",Retail,Retail,11217,3871,1901,5130,4945,1562,2707,2013,6045,2951,3188,1558,4811,3864,1769,2696,4918,3673,4058,4615,2067,5571,387,85517,VAT,553
VAT,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,10476,7560,10152,5130,7290,7812,7689,14999,7812,7560,4536,8316,7812,4536,6552,3730,0,,0,0,0,0,,121962,VAT,554
VAT,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,10800,10206,9126,8370,8370,9324,6552,7812,8518,14818,12600,8568,8820,14364,16582,15271,22730,14868,6048,5796,4032,8325,3510,235409,VAT,555
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,48449,82474,27038,72468,40077,46940,41168,37193,70666,56943,67460,40907,37321,82978,40014,53604,49505,47196,60534,46170,22572,42845,6926,1121445,VAT,556
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,2907,4590,3060,6120,12087,8055,3993,2754,1377,4131,11016,8262,5508,2754,6678,2754,8262,4131,1377,2754,7020,5094,2547,117232,VAT,557
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,45414,73390,28971,45806,55971,43065,13736,34192,107291,39724,21161,39724,24874,44293,13736,29700,23493,45359,43931,15098,19676,76106,25245,909955,VAT,558
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,2610,2610,,2610,7560,4950,4950,,,,,2475,4950,2475,2475,,,2475,,4950,,,,45090,VAT,559
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,36936,62330,39245,36936,38475,87480,12393,11664,24786,,,37908,23328,94122,38637,11441,,27702,,26244,11441,12326,,633392,VAT,560
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,68916,22881,,46035,91584,,,21465,,,,,22896,,,22896,126214,,,,35114,,458002,VAT,561
VAT,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,2147,,,2147,,2147,,4770,,2147,2147,2147,,2147,,,,,,19796,VAT,562
VAT,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,36180,28890,19440,19440,7290,41148,11340,26586,58968,20412,6804,34020,,,,,,,,,,,,310518,VAT,563
VAT,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,51336,41312,36301,10023,18421,18448,25055,25179,20941,16778,18074,46619,33132,,,,,,,,,,,361619,VAT,564
VAT,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,9720,14580,22428,9576,4284,18144,4536,4536,,,,,,,,,,,,,87804,VAT,565
VAT,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,6804,,,,,,,,,,,,,,,,,6804,VAT,566
VAT,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,1926,6741,2889,4815,5778,5346,6059,4990,4455,8019,4455,8019,2673,,,,,,,,,,,66164,VAT,567
